dID,speciality,About
D00027,OB-Family Medicine,"Dr. Holub serves as Residency Director for the University of Rochester Family Medicine Residency. He is an Associate Professor in the Department of Family Medicine.Dr. Holub hails originally from New Jersey. He received his medical degree from the University of Pennsylvania and completed his residency training at Brown University/Memorial Hospital of Rhode Island. His first practice was in a 30-bed rural hospital in northern New Hampshire where he practiced full-spectrum family medicine including inpatient care, obstetrics, nursing home care, office procedures, and a busy outpatient practice. After two years, following his strong interest in residency education, Dr. Holub relocated to Pennsylvania and joined the residency faculty at the Penn State University/Good Samaritan Hospital Family Medicine Residency. He taught there for 7 years and served several administrative leadership roles, including Medical Director of the residency clinic, Associate Residency Director, and Interim Residency Program Director. Dr. Holub then moved to Chicago, IL, where he became Associate Residency Director and then Residency Director of the University of Chicago (NorthShore) Family Medicine Residency Program. He also served as Interim Chairman, and then as Vice Chairman, of the Department of Family Medicine for the NorthShore University HealthSystem.Dr. Holub joined the University of Rochester in 2010. His clinical interests include the full spectrum of caring for families, including obstetrics. His teaching interests include  obstetrics, practice management and EMR efficiency. He and his wife, a surgical oncologist at Strong Memorial Hospital, have two children, are avid skiers and hikers, and are committed supporters of animal rescue, especially pit bull rescue."
D00020,Family Medicine,"""I believe that physicians should be patient advocates. I embrace a team-oriented approach to health care. I work in partnership with my patients to help them make healthy choices.""Dr. Howe is a graduate of the Medical College of Virginia/Virginia Commonwealth University in Richmond, VA. He completed his residency in Family Medicine through St. Joseph's Hospital Health Center in Syracuse. His professional interests include sports medicine and medical ethics. Dr. Howe is board-certified in Family Medicine. He is a member of the faculty of the University of Rochester School of Medicine and Dentistry. Outside the office, you'll find him whitewater canoeing, mountain biking, and downhill skiing."
D00044,Gastroenterology,"Dr. Huang is an Associate Professor of Medicine and the Director of the Digestive and Liver Disease Center for Research. He attended medical school at Midwestern University, Chicago, Illinois, Residency at McGaw Medical Center of Northwestern University, Evanston, Gastroenterology and Advanced Transplant Hepatology Fellowship at Medical College of Wisconsin, Milwaukee, Wisconsin. Dr. Huang is board certified in Internal Medicine, Gastroenterology and Transplant Hepatology. Dr. Huang has formal training and expertise in all liver diseases and liver transplantation. He specializes in viral hepatitis, hepatic encephalopathy, autoimmune hepatitis, hepatobiliary malignancies, and other liver diseases. Prior to joining URMC, Dr. Huang was on faculty at the Medical College of Wisconsin. He has received multiple teaching awards for both residency and medical school education. He regularly participates in clinical trials as well as other research activities in gastroenterology and hepatology."
D00139,Orthopaedic Surgery,"I am a board certified and fellowship-trained orthopaedic surgeon who specializes in the repair of fractures in adults. Since 2007, I have been practicing at the University of Rochester where I focus on the repair of complex injuries to bone that occur due to trauma ??whether the result of a simple fall or a high energy accident.  I am experienced with minimally invasive fracture surgery, repair of complex injuries around joints, and also with fractures that do not heal.My initial interest in orthopaedic trauma was spurred by the immense rewards of healing  traumatic injuries, which are by their nature highly variable.  Every injury and every patient present a unique set of challenges, with the goal of treatment being a return to the life and activities that each individual holds dear. I am drawn to the work of helping patients put their trauma in perspective, overcome struggles and return to function."
D00558,Internal Medicine,
D00573,Anesthesiology,
D00556,Urology,"Dr Jean Joseph currently serves as W.W. Scott Professor and Chairman of the department of Urology, Professor of Oncology at the University of Rochester Medical Center. Dr Joseph completed his college education at Boston University. He later attended the University of Rochester School of Medicine, where he also completed his residency in 1998. He received fellowship training at the University College London in reconstructive urologic surgery. He completed a master class in laparoscopic prostatectomy at the Institute Mutualiste Montsouris (Paris, France). Dr Joseph completed a Master??s in Business Administration in 2004 at the Rochester Institute of Technology.Dr. Joseph's specializes in robotic surgery for urologic diseases, particularly prostate cancer. His research interests have focused on surgical innovation, applications of novel robotic technology, simulation, and patient outcomes. He is a pioneer in the field of robotic surgery, and has served as President of the Society of Urologic Robotic Surgery. He has participated as surgeon for several international live robotic surgery demonstrations, including the first live robotic prostatectomy transmission to the American Urological Association (AUA) in 2010. He has authored numerous medical journal articles on topics related to robotic and minimally invasive surgery. Dr Joseph has served in a number of leadership positions. He served on the Board of the University of Rochester Medical Center. He is currently an executive board member of the Society of Academic Urologists. He also serves on the Board of the Endourology Society, the Northeastern Section of the American Urological Association as Secretary, and the American Board of Urology as a certifying examiner. He is a graduate of the AUA leadership program, and has served on the AUA content review committee.Dr Joseph has edited multiple books, authored numerous book chapters, and scientific publications. He has served as course director for a number of courses at the American Urological Association, and World Congress of Endourology annual meetings."
D00345,Hospitalist,"Dr. Kadura, originally from Canastota, NY, completed her undergraduate studies at Syracuse University and earned her medical degree at Universidad Central del Caribe in Puerto Rico. Following this, she pursued her internal medicine residency here at URMC. She practiced hospital medicine for nearly a decade, during which she actively engaged in quality improvement initiatives and took pleasure in teaching medical students and residents. Dr. Kadura furthered her education by obtaining an MBA through the University of Rochester's Simon Business School.Motivated to play a more integral role in her patients' overall health and well-being, Dr. Kadura underwent specialized sleep medicine training. As a faculty member at the sleep disorders center, she dedicates herself to evaluating and treating patients with a spectrum of sleep disorders, encompassing obstructive sleep apnea, insomnia, restless legs syndrome, and circadian rhythm sleep-wake disorders. Dr. Kadura maintains her involvement with inpatient care at Highland Hospital.Beyond her clinical responsibilities, she contributes to the URMC Clinical Informatics team, holding the role of Director of Informatics, where she brings her expertise to enhance the intersection of healthcare and information technology."
D00869,Internal Medicine,"Dr. Kane received his undergraduate degree from Hobart College in 1988, where he was elected to membership in Phi Beta Kappa. He completed his medical degree and residency in Internal Medicine from the University of Rochester School of Medicine and Dentistry. Dr. Kane is board certified by the American Board of Internal Medicine."
D00327,Nephrology,"I am an Orthopaedic Surgeon specializing in the treatment of advanced hip and knee arthritis with total joint replacement and partial knee replacement. My practice focuses on the nonsurgical care of patients with hip and knee arthropathy as well as primary and complex hip and knee reconstruction including revision procedures for problematic hip and knee replacements.  I employ modern techniques, approaches, and technology to provide up-to-date and evidence-based care that can facilitate functional rehabilitation and rapid recovery while optimizing clinical outcomes for my patients.Native to the Rochester area, I have a sense of dedication and loyalty to this community. In addition, I value the advancement of the orthopaedic profession through political advocacy on both state and national stages."
D00516,Otolaryngology,"Dr. Karelsky is an Associate Professor of Otolaryngology Head and Neck Surgery at the University of Rochester School of Medicine. Dr. Karelsky is a native of Russia who has lived in the United States since childhood. She completed her undergraduate education at the University of California at Berkeley and graduated with a BA in molecular and cell biology. Her seminal undergraduate research work on short interfering RNA was published in the journal Nature. She subsequently completed medical school at Vanderbilt University School of Medicine, and graduated from the Otolaryngology Head and Neck Surgery residency program at the University of Rochester."
D00909,Family Medicine,
D00952,Palliative Care,"Dr. Khadilkar completed medical school, Internal Medicine residency, and Rheumatology fellowship at Temple University in Philadelphia. Over time, her interest in the care of seriously ill patients drew her to Palliative Care, and she completed training in Palliative Care and Geriatrics at the University of Rochester. She now practices as an inpatient palliative care physician at UR Medicine/Highland Hospital and is the Associate Medical Director of UR Medicine Hospice."
D00985,Hospitalist,
D00315,Palliative Care,
D00441,GYN Oncology,"Dr. Kranz completed post-baccalaureate studies at Goucher College in 2003 and returned to her undergraduate alma mater, Brown University, for medical school. During medical school, she was thrilled to discover family medicine as she is most interested in caring for whole people, families, and communities. University of Rochester's family medicine department was a perfect fit for residency with its excellent psychosocial/behavioral health curriculum and collaborative practice environment. After serving as chief resident, she joined the faculty in 2011 with a focus on teaching in the psychosocial medicine curriculum. She became a Fellow of the European Committee on Sexual Medicine in 2018 and has pursued additional training in sexual medicine through the European Society of Sexual Medicine, the International Society for the Study of Women's Sexual Health, and the American Association of Sexuality Counselors Educators and Therapists. Sexual medicine, simply put, addresses the sexual aspects of medical issues and the medical aspects of sexual issues. In addition to clinical work in sexual medicine she teaches physicians, mental health professionals and community members about sexual medicine."
D00387,Internal Medicine,"Dr. Shyla Krishnan is Board Certified in Internal Medicine and in Geriatrics. She completed her medical education in 1993 at the T.D. Medical College in India, and her medical residency program in 1999 at University of Rochester School of Medicine and Dentistry. She went on to complete her Fellowship in Geriatrics at the University of Rochester School of Medicine and Dentistry in 2001. She worked as a Senior Clinical Instructor at the Department of Internal Medicine and Geriatrics at the University of Rochester, and as an Attending Physician at Geriatric Associates, LLP in Buffalo. She joined the Alexander Medical Group in May 2005.Dr. Krishnan is a member of the American College of Physicians and the American Geriatric Society. She is also a Clinical Instructor in Medicine at the University of Rochester School of Medicine and Dentistry."
D00718,Gastroenterology,"Dr. George Y. Kunze received his Master of Arts degree from the University of Rochester with a major in Economics. He received his Doctor of Medicine Degree from the Chicago Medical School and completed his Internal Medicine Residency at the Cleveland Clinic Foundation. Dr. Kunze completed his Fellowship in Gastroenterology at the University of Rochester's Strong Memorial Hospital, and is a Board Certified Gastroenterologist.Dr. Kunze was awarded the Best Resident Research Award, and received Teaching Assistant Honors in Neuroscience. He is also professionally certified as an Aviation Medical Examiner.Dr. Kunze's gastroenterology interests include colorectal cancer screening, gastro-esophageal reflux disease, inflammatory bowel disease and diseases of the liver.Dr. Kunze is a member of the American College of Gastroenterology, the American Gastroenterology Association, and the American Society of Gastrointestinal Endoscopy.Dr. Kunze enjoys aviation and spending time with his wife and two children."
D00477,Plastic Surgery,
D00234,Family Medicine,"Dr. Marc Lavender received his medical degree from Ohio State University College of Medicine. He completed his residency at the University of Rochester Medical Center in the Medicine-Pediatrics Program. Dr. Lavender has specialized training in both Pediatrics and Adult Internal Medicine. He is certified by the American Board of Internal Medicine and the American Board of Pediatrics.Dr. Lavender believes the physician's role is not only as a partner in healing but also as a teacher. He strives to treat each individual within the context of their unique personal and social situations, and ensures that his patients have a good understanding of their medical problems and treatments. Dr. Lavender has special interest in the way our lifestyles and our environment affect personal health. He also has special interest in sports medicine and preventive care of children and adults."
D00628,Hospitalist,"Dr. Li obtained his undergraduate education at University of Minnesota - Twin Cities, where he majored in Biomedical Engineering. He attended New York Medical College and obtained his medical degree in 2017. Dr. Li then moved to Rochester for his internal medicine residency at the University of Rochester Medical Center. He is now a hospitalist within the Department of Medicine, with a special interest in medical education, clinical problem solving, POCUS, and healthcare AI. Dr. Li currently serves as the Medical Director of the Observation Unit."
D00356,Emergency,"Dr. Lincoln was born and raised in Rochester, NY.  She graduated Summa Cum Laude from the State University of New York at Geneseo.  Dr. Lincoln then attended medical school at the University of Rochester School of Medicine and Dentistry and graduated with honors in 2009.  She proceeded to complete her Emergency Medicine Residency at the University of Rochester, and she served as the Chief Resident in 2012."
D00168,Radiation Oncology,"Dr. Ling is an Associate Professor of Radiation Oncology at the University of Rochester Medical Center. She received a B.A. in Biology from Williams College in 1983. The Following year, she was awarded a Certificat de Merit?© from the Cordon Bleu Acad?©mie Cuisine in Paris, France. She then enrolled at the University of Maryland and received her M.D. in 1988, which was followed by residency at Johns Hopkins Hospital. From 1992 to 1996, Dr. Ling relocated to the Boston area, where she was an instructor and then Assistant Professor in Radiation Oncology at Tufts University School of Medicine and New England Medical Center. She was also a visiting scientist at the Massachusetts Institute of Technology's Nuclear Research Laboratory. From 1997 to 1999, Dr. Ling was a Clinical Assistant Professor at the University of Washington Medical Center in Seattle. In 1999, Dr. Ling moved back east and joined the faculty at the University of Rochester. She is board-certified by the American College of Radiology and is Co-Medical Director of the Integrative Oncology and Wellness Center. Dr. Ling's interests and publications have covered topics relating to breast cancer such as the latest radiation treatment modalities (stereotactic body radiotherapy, intensity modulated radiotherapy), breast conserving therapy and reconstruction, and side effects of treatment (bone loss, nausea, radiation dermatitis, fatigue). She has also been an invited speaker at special events hosted by local breast cancer support organizations. Dr. Ling is a member of the American Society for Therapeutic Radiology and Oncology. She also received board certification from the American Board of Integrative and Holistic Medicine."
D00115,Family Medicine,
D00361,Family Medicine,"I'm never quite sure what to say about my philosophy of practice. After twenty five years as a primary-care physician, I am still surprised at humbled by the endless variety of ways that people experience life. So while I may not be up to a whole philosophy, I have at least developed some practical standards that guide my daily practice.     - Everyone who comes to me is deserving of unconditional respect and decency, and of my best efforts. - Anyone can benefit from having an advocate.- Habits are hard to change, and health-related habits are even harder. There are often more immediate things to worry about. Meaningful change happens slowly, and may not be apparent from one visit to the next. - Superstition and wishful thinking can cause a lot of avoidable suffering. There is considerable research evidence for the benefits and harms of many medical interventions - my job is to help people make the best decision for themselves, informed by the best available scientific evidence."
D00062,Otolaryngology,"Dr. Alexander K. Mandych joins us from Southtowns Ear, Nose &amp; Throat, LLP in Orchard Park, wherehe was a founding partner. He was the former Department Chair of Otolaryngology ??Head &amp; Neck Surgeryat St. Joseph Hospital in Cheektowaga, NY from 2003 to 2009. Prior to this, he was a physician and partner at Western New York Ear, Nose &amp; Throat.Dr. Mandych earned his medical degree from Albany Medical College of Union University in Albany, NY, prior to completing his internship in general surgery at the State University of New York Health Science Center in Syracuse, NY. He then  finished his residency in otolaryngology ??head and neck surgery, and was chief resident at Henry Ford Hospital in Detroit, MI.Dr. Mandych is board certified in otolaryngology and a fellow of the American Academy of Otolaryngology, Head &amp; Neck Surgery. He specializes in adult and pediatric otolaryngology and welcomes new patients to his practice."
D00284,Plastic Surgery,
D00015,Intensivists (ICU),"Born and raised in Cincinnati, Dr. Mattingly completed her undergraduate degree in biology at the University of Notre Dame before moving to upstate NY to attend medical school at the University of Rochester. After finishing her internal medicine residency at URMC, she worked as a member of the hospital medicine division at Strong Memorial for one year before pursuing a critical care fellowship here. Dr. Mattingly has been a member of the critical care faculty treating patients at Strong Memorial and Highland hospitals since she completed her training in 2011."
D00366,Geriatrics,
D00332,Orthopaedic Surgery,"I am an orthopaedic oncologist specializing in treatment of musculoskeletal tumor--lumps and bumps that may or may not be cancerous in the bones, muscle and other soft tissues of the body.  I treat people from the very young to the most mature, providing the compassion and understanding I feel each patient deserves, as well as including patients and their families at every stage of decision-making.I also maintain my roots as a general orthopedist by performing partial and total joint replacement surgery.   I have a particular interest in limb-sparing surgery and preservation of function.I perform humanitarian work in locations around the world. Each year, I travel to Thailand to the Barefoot Doctors School, where I train health workers from Myanmar to provide care to people in their villages.  In the past, I have travelled to West Bengal, India, to perform hand surgery, and I assisted my father in building a church in Costa Rica."
D00689,OB/GYN,"Dr. McKnight received her bachelor's degree from Duke University. Following receipt of her medical degree from the University of Rochester School of Medicine and Dentistry, Dr. McKnight completed her residency in obstetrics and gynecology at Strong Memorial Hospital of the University of Rochester School of Medicine and Dentistry. A Fellow of the American College of Obstetricians and Gynecologists and a Board Certified Obstetrician/Gynecologist, she also is a Clinical Instructor of Obstetrics and Gynecology at the University of Rochester.For more information about Dr. McKnight's practice, please visit www.rgoa.com"
D00030,Family Medicine,"Dr. Michael Mendoza is the 9th Commissioner of Public Health for Monroe County, NY and Professor in the Departments of Family Medicine, Public Health Sciences, and Nursing at the University of Rochester School of Medicine and Dentistry. Dr. Mendoza joined the faculty at the University of Rochester in 2009 and was appointed to serve as Medical Director at Highland Family Medicine, one of the largest family medicine residency teaching practices in the country.  In the following seven years, Dr. Mendoza led the practice through unprecedented growth and change. Under his oversight, Highland Family Medicine became recognized as a local and national innovator in team-based care and interprofessional practice and education. As Commissioner of Public Health, Dr. Mendoza oversees the Monroe County Health Department comprised of a diverse array of health promotion and disease preparedness efforts serving the residents of Monroe County, NY.In this role, Dr. Mendoza aims to improve population health through collaborations between primary healthcare delivery and public health practice. His clinical practice emphasizes evidence-based care, chronic illness prevention and management, and the integration of behavioral health in primary care.  As an advocate for public health, Dr. Mendoza seeks to bridge the innovation and clinical rigor of academic primary care with the strengths of long-standing community assets and partnerships.Dr. Mendoza is a recognized educator and writer. He was named ""Teacher of the Year"" by the Illinois Academy of Family Physicians and has authored or co-authored numerous peer-reviewed journal articles and book chapters. His scholarly interests include studying and implementing practice-based innovations that promote quality and patient safety in underserved clinical settings, and capacity development for the primary care and public health workforce. His prior research focused on pay-for-performance incentive programs in underserved settings and the effects of community-based faculty development on the quality of medical student education. He is a Fellow of the American Academy of Family Physicians and has held leadership roles in the Society of Teachers of Family Medicine and the New York State Academy of Family Physicians, and he is a member of the Board of Directors of several local community-based organizations. Originally from Chicago, IL, Dr. Mendoza received his undergraduate and medical degrees from The University of Chicago. He received his Masters Degree in Public Health from The University of Illinois - Chicago, and he obtained his Masters Degree in Business Administration from the Simon Business School at the University of Rochester. He completed his residency training in Family and Community Medicine at the University of California - San Francisco, and served an additional year as Chief Resident. He completed a Fellowship Program in Resident Teaching at UCSF and the Certificate Program in Biomedical Informatics at the Oregon Health and Science University. In his spare time, Dr. Mendoza enjoys running, cycling, cooking, and photography."
D00289,Gastroenterology,
D00574,Cardiology,"Dr. Miller specializes in clinical cardiology, caring for adult patients in the Highland Cardiology office at Red Creek as well as in the hospital at Highland and Strong Memorial Hospitals. She is trained in echocardiography, including stress testing and transesophageal echocardiography, as well as nuclear cardiology. She has a special interest in hypertension, and is a member of the University of Rochester's American Heart Association Hypertension Center of Excellence. Her other interests include medical education and diversity, equity, and inclusion. She grew up in Ithaca, NY and has enjoyed living in Rochester with her family since 2011."
D00783,Vascular Surgery,"??I chose vascular surgery because, unlike most surgery, it is not episodic care but rather a lifelong patient-physician relationship. I treat every patient like one of my own family members.??br/>  Areas of Expertise??Vascular surgery with a focus on complex minimally invasive patient-specific aortic        aneurysms repair ??Minimally invasive carotid artery surgery (transcarotid artery stenting)??Developing new vascular ultrasound techniques to improve prognostication of         vascular diseaseAs a vascular surgeon, I am skilled in treating aneurysms, including aortic, abdominal aortic, thoracic aortic, visceral artery, iliac artery and renal artery. I also provide treatment for failed endovascular aneurysm repair, infected arterial grafts, carotid artery disease and peripheral vascular disease. I graduated from Rochester Institute of Technology with a degree in Computer Engineering and worked for several years in industry designing x-ray imaging systems. I then went on to receive my medical degree from the University of Rochester School of Medicine and Dentistry with a Distinction in Research. In addition to being an Assistant Professor of Vascular Surgery at UR Medicine, I am currently a Research Assistant Professor at Rochester Institute of Technology and Director of Research for the UR Medicine Division of Vascular Surgery. I also hold the position of Director of the University of Rochester Cardiovascular Engineering Lab, which is researching novel ultrasound imaging and 3D printing techniques to examine patient-specific aortic tissue properties and treatment strategies for aortic aneurysmal disease."
D00622,Family Medicine,"Dr. Momot is a graduate of SUNY Upstate Medical Center where he received his MD in Medicine in 1999.  He completed his internship and residency in Family Medicine at Wilson Memorial Regional Medical Center in 2002 and served as Chief Resident from 2001-2002.  Dr. Momot is also an Instructor of Clinical Medicine at URMC and he is an active member of the American Academy of Family Medicine.  Dr. Momot is board certified in Family Medicine.In addition to his active medical practice and teaching responsibilities, Dr. Momot has held various professional leadership positions including Assistant Medical Director of the URMC Center for Primary Care from 2006-2008 and Penfield Family Medicine Site Medical Director from 2005-2010.  He is also a longstanding current member of the Primary Care Senior Leadership Group, Chairman of the Quality Collaborative and active member of the Physician Compensation Committee.Areas of professional interest include chronic disease management such as diabetes and asthma and preventative health maintenance.  He specifically likes to integrate a ""team"" approach to health care which actively involves both the patient and the physician.Dr. Momot is a graduate of Rush-Henrietta High School and was born and raised in Henrietta, New York.  He is married with two beautiful children.  Dr. Momot is very passionate about the outdoors and he loves to hunt big and small game and he is an avid salmon fisherman.  He is also an organist and woodworker."
D00676,Intensivists (ICU),"Dr. Morgan practices across the spectrum of pulmonary and critical care at the University of Rochester Medical Center. An intensivist, she enjoys working with patients and their loved ones to navigate the arduous path of critical illness, with a particular interest in provider-patient communication, acute respiratory illness, and collaborative medicine. A lung specialist, she treasures the longitudinal relationships afforded in her outpatient general pulmonary practice, as well as in her specialized role as director of the Lymphangioleiomyomatosis Clinic. As an educator, she feels honored to have the opportunity to teach and learn from her patients and colleagues and enjoys sparking the curiosity of residents and fellows in her role as Program Director of the Pulmonary &amp; Critical Care Fellowship at URMC."
D00428,Geriatrics,"Dr. Muniak is an Assistant Professor of Medicine in the Division of Geriatrics and Aging at the University of Rochester. In addition to her faculty appointment, Dr. Muniak is a busy clinician caring for patients at Highland Hospital and the Highlands at Brighton Nursing Home, where she also serves as the Medical Director. She is a passionate medical educator, teaching in multiple University venues to Medical Students, Residents, and Fellows; additionally, Dr. Muniak serves as the Associate Program Director for the URMC Fellowship in Geriatrics and Aging.  She recently completed the Geriatric Academic Career Award (GACA), a 4-year career development grant funded by HRSA.  Current projects include regional leadership in URMC's Project ECHO: Geriatrics and Mental Health in Long Term Care, Age Friendly Health System Quality Improvement Initiatives.  Dr. Muniak Is a member of the American Geriatrics Society and the AGS Ethics Committee."
D00175,OB/GYN,
D00422,Family Medicine,"Betsy Naumburg, MD, returned to the Family Medicine Program in 1986 after an unsuccessful attempt to escape its powerful magnetism. She attended the Mt. Sinai School of Medicine (MD -'79) and took her residency in Rochester. She was recruited from the west side of town where she practiced for three years at the Woodward Health Center. Her interests at Family Medicine include the medically underserved, the impact of race, class, and gender on health, health care and medical education and the integration and balance of professional and personal life. She enjoyed a tenure as Residency Director from 1990-1997. She has become very involved at the medical school as an Advisory Dean while still continuing her commitment to residency education."
D00804,Medicine,"Dr. Nead received her medical degree from the University of Rochester Medical School. She then completed her residency in Internal Medicine and Pediatrics, and a fellowship in Pediatrics at the University of Rochester. She worked in Connecticut for three years, before returning to Rochester to work at Culver Medical Group.She is an Assistant Professor in Internal Medicine and Pediatrics at the University of Rochester. She is board certified in Internal Medicine and Pediatrics, and is a member of the American Academy of Pediatrics and the American College of Physicians.Dr. Nead enjoys caring for multiple generations of family members. Her primary medical interests include preventive health care, pediatric obesity, nutrition education, and complementary medicine. Outside of work, she enjoys running, hiking, biking and spending time with her family"
D00412,Otolaryngology,"When prescribing treatment for head and neck cancers, the physician has to consider not only biology and anatomy, but also the particular circumstances in the patient's life. We use a multidisciplinary team approach with the goal of treatment that provides the best oncologic and functional outcome possible.I have always found dealing with serious and difficult disease most rewarding. Head and neck cancer care presents exceptional challenges for the patient and our team, but working with these patients facing great challenges is rewarding to me personally. To help put patients at ease, I try to inject humor into difficult situations whenever possible. My areas of expertise include salivary gland and thyroid cancers.Conditions I Treat- Head and neck cancers- Salivary gland cancer- Thyroid cancer"
D00677,Geriatrics,"Dr. Nicholas is the Associate Chief of Medicine at Highland Hospital. His clinical practice is through the inpatient geriatrics service as part of the Highland Hospital Geriatrics Group. Additionally, he is the Director of Medical Education at Highland Hospital and an Associate Program Director for the URMC Internal Medicine Residency Program.Dr. Nicholas completed his medical degree at the University of Pittsburgh School of Medicine, and residencies in Internal Medicine and Pediatrics at the University of Rochester and Preventive Medicine at the New York State Department of Health. His academic interests include clinical reasoning and decision making, co-management of geriatric surgical patients, and medication education."
